No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
400   ,2024-05-25 01:06:38,121.706,24.2033,4.6,23.2,24.20N 121.71E, i.e. 25.1 km NNE of Hualien County(24.20N 121.71E, i.e. 25.1 km NNE of Hualien County)
Small area,2024-05-24 21:39:00,121.623,23.955,4,17.3,23.96N 121.62E, i.e. 4.0 km S of Hualien County(23.96N 121.62E, i.e. 4.0 km S of Hualien County)
399   ,2024-05-24 11:52:38,121.632,23.8355,4.2,5,23.84N 121.63E, i.e. 17.3 km S of Hualien County(23.84N 121.63E, i.e. 17.3 km S of Hualien County)
Small area,2024-05-24 11:10:04,121.955,24.3037,4,20.9,24.30N 121.96E, i.e. 48.6 km NE of Hualien County(24.30N 121.96E, i.e. 48.6 km NE of Hualien County)
Small area,2024-05-24 10:42:56,121.651,23.9975,3.5,35,24.00N 121.65E, i.e. 3.2 km ENE of Hualien County(24.00N 121.65E, i.e. 3.2 km ENE of Hualien County)
Small area,2024-05-24 07:27:10,121.476,23.9483,3.3,17.4,23.95N 121.48E, i.e. 15.4 km WSW of Hualien County(23.95N 121.48E, i.e. 15.4 km WSW of Hualien County)
Small area,2024-05-24 06:26:44,122,24.4848,3.9,15.4,24.48N 122.00E, i.e. 36.3 km SE of Yilan County(24.48N 122.00E, i.e. 36.3 km SE of Yilan County)
398   ,2024-05-24 03:29:57,121.573,24.0188,4,6.5,24.02N 121.57E, i.e. 5.7 km WNW of Hualien County(24.02N 121.57E, i.e. 5.7 km WNW of Hualien County)
Small area,2024-05-23 22:45:52,121.308,22.8398,3.9,37.8,22.84N 121.31E, i.e. 18.6 km ENE of Taitung County(22.84N 121.31E, i.e. 18.6 km ENE of Taitung County)
397   ,2024-05-23 21:59:28,121.306,23.9317,4.2,5,23.93N 121.31E, i.e. 32.6 km W of Hualien County(23.93N 121.31E, i.e. 32.6 km W of Hualien County)
Small area,2024-05-23 00:00:53,121.549,23.8082,3.9,5.2,23.81N 121.55E, i.e. 21.5 km SSW of Hualien County(23.81N 121.55E, i.e. 21.5 km SSW of Hualien County)
Small area,2024-05-22 16:06:02,121.699,23.8697,4,5,23.87N 121.70E, i.e. 15.7 km SSE of Hualien County(23.87N 121.70E, i.e. 15.7 km SSE of Hualien County)
396   ,2024-05-22 16:00:41,121.692,23.837,5.2,5.3,23.84N 121.69E, i.e. 18.6 km SSE of Hualien County(23.84N 121.69E, i.e. 18.6 km SSE of Hualien County)
Small area,2024-05-22 12:27:02,121.857,24.337,3.3,10.1,24.34N 121.86E, i.e. 44.7 km SSE of Yilan County(24.34N 121.86E, i.e. 44.7 km SSE of Yilan County)
